_id,tipo,situacao,data,hora,bairro,endereco,numero,complemento,natureza,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas
1,SEM VÍTIMA,CANCELADA,2015-12-03T00:00:00,11:36:00.000,CASA AMARELA,AV NORTE,,SENTIDO SUBURBIO   E/F AO SESC,COLISÃO,COLISÃO SEM VITIMAS,,,,,,,,,,0
2,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,06:35:00.000,ENCRUZILHADA,EST DE BELEM,,IGREJA BATISTA MEMORIAL DE BELÉM,COLISÃO,SEM VÍTIMAS.,,2,,,,,,,,0
3,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,08:04:00.000,BOA VIAGEM,RUA ERNESTO DE PAULA SANTOS,,SEMAFORO Nº217,COLISÃO,SEM VITIMA,1,,,,,,1,,,0
4,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,08:06:00.000,AFOGADOS,AV SUL,,AO LADO DA ESTAÇAO LARGO DA PAZ,COLISÃO,COLISAO S/V,1,,,,,,1,,,0
5,SEM VÍTIMA,CANCELADA,2015-06-01T00:00:00,08:13:00.000,MADALENA,RUA BENFICA,,EM  FRENTE AO CLUBE INTERNACIONAL,COLISÃO,GM RIBEIRO JA NO LOCAL VT 05,2,,,,,,,,,0
6,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,08:40:00.000,TORRE,RUA REAL DA TORRE,,EM FRENTE AO EXTRA BOM,COLISÃO,COL.S/V,1,,,,,,1,,,0
7,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,09:30:00.000,SÃO JOSÉ,C SANTA RITA,,SEMAFORO 571,COLISÃO,COLISAO ENTRE ONIBUS E AUTO S/V,1,,,,,1,,,,0
8,COM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,09:10:00.000,PINA,AV HERCULANO BANDEIRA,,EM FRENTE AO SEMÁFORO 137,COLISÃO,COLISÃO ENTRE AUTO E MOTO,1,1,,,,,,,,1
9,SEM VÍTIMA,CANCELADA,2015-06-01T00:00:00,09:38:00.000,PINA,AV ANTONIO DE GOES,,E/F A SECRETARIA DE ADM.DO GOVERNO DO EST.,COLISÃO,SEM VÍTIMAS. SENTIDO CIDADE,1,,,,,1,,,,0
10,SEM VÍTIMA,CANCELADA,2015-06-01T00:00:00,10:11:00.000,ILHA DO LEITE,AV BEIRA RIO,,EM BAIXO DO PONTILHAO ENTRE O HOPE E HOSPITAL ESPERANÇA,COLISÃO,COLISAO ENTRE AIUTO E MOTO S/V,1,1,,,,,,,,0
11,COM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,10:30:00.000,IPSEP,RUA JEAN EMILE FAVRE,,COM RUA JAMAICA EM FRENTE À FBV,COLISÃO,RUA JEAN EMILE FAVRE C/ RUA JAMAICA,1,,1,,,,,,,1
12,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,10:56:00.000,TAMARINEIRA,RUA PADRE ROMA,120,PROX. AO EMPREARIAL PADRE ROMA,COLISÃO,"COLISAO ENTRE DOIS AUTO, S/V",2,,,,,,,,,0
13,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,11:08:00.000,IMBIRIBEIRA,AV DOM JOAO VI,,"VIA MANGUE, AO LADO DO COLEGIO GGE, tel:7187864099",COLISÃO,COLISAO ENTRE DOIS AUTO S/V,2,,,,,,,,,0
14,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,11:14:00.000,BOA VISTA,RUA DO HOSPICIO,,CRUZAMENTO COM A PRINCESA ISABEL,COLISÃO,COLISÃO SEM VÍTIMA,2,,,,,,,,,0
15,COM VÍTIMA,CANCELADA,2015-06-01T00:00:00,11:37:00.000,ILHA DO RETIRO,RUA JOAO ELISIO RAMOS,,ATRÁS DO SPORT CLUBE DO RECIFE,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1
16,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,12:21:00.000,TORRE,RUA REAL DA TORRE,1675,E/F AO COLEGIO DESPERTAR,COLISÃO,COLISAO ENTRE AUTO E CAMINHAO,1,,,,,,1,,,0
17,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,12:38:00.000,BOA VIAGEM,AV BOA VIAGEM,,"1958,E/F AO BEACH CLASS, NA ALTURA DO 1o. JARDIM",COLISÃO,3 AUTOS,3,,,,,,,,,0
18,SEM VÍTIMA,CANCELADA,2015-06-01T00:00:00,12:48:00.000,IMBIRIBEIRA,AV SUL,,APÓS PONTE MOTOCOLOMBÓ E CAIXA ECONOMICA SENTIDO CENTRO.,COLISÃO,2 AUTOS,1,,,,,1,,,,0
19,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,13:03:00.000,IMBIRIBEIRA,RUA ENGENHEIRO JOSE APOLINARIO,,PX A CORAL,COLISÃO,COLISAO ENTRE AUTO E CAMINHAO,2,,,,,,,,,0
20,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,13:46:00.000,ARRUDA,RUA ZEFERINO AGRA,,COM A RUA DAS MOÇAS E/F DA ANTENA DA OI N 886 A,COLISÃO,COLISÃO DE DOIS AUTOS,2,,,,,,,,,0
21,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,14:15:00.000,ÁGUA FRIA,EST VELHA DE AGUA FRIA,,"1029, E/F AO RESIDENCIAL COIMBRA",COLISÃO,COLISAO ENTRE AUTOS,2,,,,,,,,,0
22,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,14:34:00.000,BOA VIAGEM,RUA RIBEIRO DE BRITO,,"ESQUINA COM A SUBWAY, RUA JOÃO MEDEIROS",COLISÃO,2 AUTOS,2,,,,,,,,,0
23,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,14:34:00.000,PRADO,RUA PANDIA CALOGERAS,,"218, PX A HABBIS",CHOQUE,CHOQUE EM FERRO FIXADO NA VIA POR MORADOR,1,,,,,,,,,0
24,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,14:43:00.000,BOA VISTA,RUA JOAO FERNANDES VIEIRA,,E/F DO BOMPREÇO DO PARQUE AMORIM,COLISÃO,COLIÃO DE DOIS AUTOS,2,,,,,,,,,0
25,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,15:13:00.000,BOA VIAGEM,AV BOA VIAGEM,,"E/F DO EDF CHATEU DE MONTE, 500",COLISÃO,COLISAO DE DOIS AUTOS S/V,2,,,,,,,,,0
26,COM VÍTIMA,CANCELADA,2015-06-01T00:00:00,15:50:00.000,CASA AMARELA,AV NORTE,,EM FRENTE A ASSOÇIAÇAO DAS COSTUREIRAS,ATROPELAMENTO ANIMAL,ATROPELAMENTO DE ANIMAIS,,1,,,,,,,,2
27,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,15:36:00.000,ARRUDA,AV PROFESSOR JOSE DOS ANJOS,,PROX DO CAMPO DO ARRUDA E/F AO DENOX,COLISÃO,COLISÃO DE DOIS AUTOSW S/V,2,,,,,,,,,0
28,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,16:24:00.000,ÁGUA FRIA,RUA JAPARANDUBA,,RUA DO SENAI ENF DO N 89,COLISÃO,COLIÃO DE DOIS AUTOS S/V,2,,,,,,,,,0
29,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,16:28:00.000,AFOGADOS,EST DOS REMEDIOS,,AO LADO DO BOB´S SENTIDO MADALENA/TORRE,COLISÃO,2 AUTOS,2,,,,,,,,,0
30,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,16:29:00.000,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,E/F DA CHICO CITY N 786,COLISÃO,COLISÃO DE DOIS AUTOS S/V,2,,,,,,,,,0
31,SEM VÍTIMA,FINALIZADA,2015-06-01T00:00:00,16:33:00.000,ILHA DO RETIRO,RUA BENFICA,,TÚNEL CHICO SCIENCE,COLISÃO,COLISÃO ENTRE 2 AUTOS SEM VITIMA,2,,,,,,,,,0
32,SEM VÍTIMA,EM ATENDIMENTO,2015-06-01T00:00:00,17:38:00.000,BOA VIAGEM,AV BOA VIAGEM,5890,E/F AO EDF JOEL QUEIRÓS,COLISÃO,2 AUTOS CONDUTOR COM SUSPEITA DE EMBREAGUÊS,2,,,,,,,,,0
33,SEM VÍTIMA,CANCELADA,2015-06-01T00:00:00,17:53:00.000,BOA VIAGEM,AV BOA VIAGEM,,E/F AO PARQUE DONA LINDU,COLISÃO,COLISAO ENTRE AUTOS CONDUTO COM SUSPEITA EMBREAGUES,2,,,,,,,,,0
34,SEM VÍTIMA,EM ATENDIMENTO,2015-06-01T00:00:00,18:11:00.000,IBURA,LAD DA COHAB,,NA ESQUINA DA POLICLINICA DA COHAB NO MEIO DA LADEIRA,COLISÃO,COLISÃO SEM VITIMA LEVE,4,,,,,1,,,,0
